Entered Date,Site,PO Number,PO Value,Vendor,Invoice Number,Value,Details,Release Date,Status,FileName,Note,Last Update
03-Dec-22,161,39698,255000,ABDULLA ABDULRAHMAN ,123/22/LH,112280.12,20221204 PO.39698 Site.161 ID.11244 Sn.151.pdf,04-Dec-22,With Accounts,S161-PO.39698-11244-ABDULLA ABDULRAHMAN -8816.pdf,,6/25/2025
06-Oct-22,123,39450.5,7000,Boom Treatment Compa,BW/INV/2202850,1400,20221007 PO.39450 Site.123 ID.11218 Sn.1328.pdf,07-Oct-22,With Accounts,S123-PO.39450-11218-Boom Treatment Compa-10135.pdf,,6/25/2025
06-Oct-22,123,39450,7000,Boom Treatment Compa,BW/INV/2205624,1400,20221007 PO.39450 Site.123 ID.11218 Sn.2154.pdf,07-Oct-22,With Accounts,S123-PO.39450-11218-Boom Treatment Compa-10135.pdf,,6/25/2025
28-Nov-22,123,40471,1400,Boom Treatment Compa,BW/INV/2206576,1400,20221129 PO.40471 Site.123 ID.11218 Sn.2559.pdf,29-Nov-22,With Accounts,S123-PO.40471-11218-Boom Treatment Compa-10435.pdf,,6/25/2025
12-Dec-22,123,40734,1400,Boom Treatment Compa,BW/INV/2207173,1400,20221213 PO.40734 Site.123 ID.11218 Sn.2560.pdf,13-Dec-22,With Accounts,S123-PO.40734-11218-Boom Treatment Compa-10505.pdf,,6/25/2025
06-Oct-22,123,39450.4,7000,Boom Treatment Compa,BW/INV/2203721,1400,20221007 PO.39450 Site.123 ID.11218 Sn.2573.pdf,07-Oct-22,With Accounts,S123-PO.39450-11218-Boom Treatment Compa-10135.pdf,,6/25/2025
06-Oct-22,123,39450.3,7000,Boom Treatment Compa,BW/INV/2204662,1400,20221007 PO.39450 Site.123 ID.11218 Sn.2574.pdf,07-Oct-22,With Accounts,S123-PO.39450-11218-Boom Treatment Compa-10135.pdf,,6/25/2025
06-Oct-22,123,39450.2,7000,Boom Treatment Compa,BW/INV/2205009,1400,20221007 PO.39450 Site.123 ID.11218 Sn.2575.pdf,07-Oct-22,With Accounts,S123-PO.39450-11218-Boom Treatment Compa-10135.pdf,,6/25/2025
26-Apr-22,161,35026.2,5559236.51,ABDUL HAMID ABDUL RA,ETG/M.esmail villa/003,1294490,20220427 PO.35026 Site.161 ID.30215 Sn.2584.pdf,27-Apr-22,With Accounts,S161-PO.35026-30215-ABDUL HAMID ABDUL RA-9223.pdf,HVAC Works,6/25/2025
04-Oct-22,161,35026.3,5559236.51,ABDUL HAMID ABDUL RA,ETG/M.esmail villa/004,266562.58,20221005 PO.35026 Site.161 ID.30215 Sn.2585.pdf,05-Oct-22,With Accounts,S161-PO.35026-30215-ABDUL HAMID ABDUL RA-10129.pdf,HVAC Works,6/25/2025
10-Dec-22,161,35026.4,5559236.51,ABDUL HAMID ABDUL RA,ETG/M.esmail villa/006,595650.71,20221211 PO.35026 Site.161 ID.30215 Sn.2586.pdf,11-Dec-22,With Accounts,S161-PO.35026-30215-ABDUL HAMID ABDUL RA-10495.pdf,HVAC Works,6/25/2025
16-Aug-22,164,38433.2,800000,ABDUL HAMID ABDUL RA,Invoice 1,80000,20220816 PO.38433 Site.164 ID.30215 Sn.5217.pdf,16-Aug-22,With Accounts,S164-PO.38433-30215-ABDUL HAMID ABDUL RA-5217.pdf,,6/25/2025
01-Dec-22,164,38433.3,800000,ABDUL HAMID ABDUL RA,AEG/INV/IBA/01,448000,20221201 PO.38433 Site.164 ID.30215 Sn.5218.pdf,01-Dec-22,With Accounts,S164-PO.38433-30215-ABDUL HAMID ABDUL RA-5218.pdf,,6/25/2025
22-Nov-22,165,39899,139680,MECHATRONICS,MTQ-FPDIBA-WAS-LO-22-0001,20952,20221122 PO.39899 Site.165 ID.30123 Sn.5262.pdf,22-Nov-22,With Accounts,S165-PO.39899-30123-MECHATRONICS-5262.pdf,,6/25/2025
05-Oct-22,166,39484,3960000,DIWAN AL EMARA W.L.L,Diw/Inv/2022/094,120000,20221005 PO.39484 Site.166 ID.11529 Sn.5269.pdf,05-Oct-22,With Accounts,S166-PO.39484-11529-DIWAN AL EMARA W.L.L-5269.pdf,,6/25/2025
06-Nov-22,166,39484.2,3960000,DIWAN AL EMARA W.L.L,Diw-Inv-2022-113,120000,20221118 PO.39484 Site.166 ID.11529 Sn.5270.pdf,18-Nov-22,With Accounts,S166-PO.39484-11529-DIWAN AL EMARA W.L.L-5270.pdf,,6/25/2025
12-Dec-22,161,40508,28000,Abdul Hamid Abdul Ra,INV-007,8400,20221221 PO.40508 Site.161 ID.30215 Sn.8820.pdf,21-Dec-22,With Accounts,S161-PO.40508-30215-Abdul Hamid Abdul Ra-8820.pdf,,6/25/2025
03-Oct-22,161,38761,62880,Abdul Hamid Abdul Ra,221003-10128,18864,20221003 PO.38761 Site.161 ID.30215 Sn.8822.pdf,03-Oct-22,With Accounts,S161-PO.38761-30215-Abdul Hamid Abdul Ra-8822.pdf,,6/25/2025
22-Dec-21,161,40513,190000,Abdul Hamid Abdul Ra,INV-008,57000,20221221 PO.40513 Site.161 ID.30215 Sn.8826.pdf,21-Dec-22,With Accounts,S161-PO.40513-30215-Abdul Hamid Abdul Ra-8826.pdf,,6/25/2025
04-Feb-23,163,41796,2615,NOSHER BILLS,,2615,20230204 PO.41796 Site.163 ID.Nosher Sn.1.pdf,04-Feb-23,With Accounts,,,6/25/2025
04-Feb-23,163,41797,3000,NOSHER BILLS,,3000,20230204 PO.41797 Site.163 ID.Nosher Sn.2.pdf,04-Feb-23,With Accounts,,,6/25/2025
04-Feb-23,167,41798,442,NOSHER BILLS,,442,20230204 PO.41798 Site.167 ID.Nosher Sn.3.pdf,04-Feb-23,With Accounts,,,6/25/2025
04-Feb-23,166,41799,900,NOSHER BILLS,,900,20230204 PO.41799 Site.166 ID.Nosher Sn.4.pdf,04-Feb-23,With Accounts,,,6/25/2025
04-Feb-23,166,41800,2950,NOSHER BILLS,,2950,20230204 PO.41800 Site.166 ID.Nosher Sn.5.pdf,04-Feb-23,With Accounts,,,6/25/2025
04-Feb-23,168,41801,1429,NOSHER BILLS,,1429,20230204 PO.41801 Site.168 ID.Nosher Sn.6.pdf,04-Feb-23,With Accounts,,,6/25/2025
04-Feb-23,168,41802,130,NOSHER BILLS,,130,20230204 PO.41802 Site.168 ID.Nosher Sn.7.pdf,04-Feb-23,With Accounts,,,6/25/2025
04-Feb-23,167,41803,800,NOSHER BILLS,,800,20230204 PO.41803 Site.167 ID.Nosher Sn.8.pdf,04-Feb-23,With Accounts,,,6/25/2025
04-Feb-23,123,41605,85,AZAM BILLS,,85,20230204 PO.41605 Site.123 ID.Azam Sn.9.pdf,04-Feb-23,With Accounts,S123-PO.41605-Azam-AZAM BILLS-.pdf,,6/25/2025
16-Apr-23,163,41599,736,AZAM BILLS,,736,20230204 PO.41599 Site.163 ID.Azam Sn.10.pdf,04-Feb-23,With Accounts,S163-PO.41599-Azam-AZAM BILLS-.pdf,,6/25/2025
06-Apr-23,161,41598,35,AZAM BILLS,,35,20230204 PO.41598 Site.161 ID.Azam Sn.11.pdf,04-Feb-23,With Accounts,,gave to driver,6/25/2025
06-Apr-23,163,41597,510,AZAM BILLS,,510,20230204 PO.41597 Site.163 ID.Azam Sn.12.pdf,04-Feb-23,With Accounts,,gave to driver,6/25/2025
13-Apr-23,167,41600,136,AZAM BILLS,,136,20230204 PO.41600 Site.167 ID.Azam Sn.13.pdf,07-Mar-23,With Accounts,,gave to driver,6/25/2025
16-Apr-23,100,41606,145,AZAM BILLS,,145,20230204 PO.41606 Site.100 ID.Azam Sn.14.pdf,04-Feb-23,With Accounts,,gave to driver,6/25/2025
04-Feb-23,165,41682,156,AZAM BILLS,,156,20230204 PO.41682 Site.165 ID.Azam Sn.15.pdf,04-Feb-23,With Accounts,,,6/25/2025
04-Feb-23,163,41653,1329,AZAM BILLS,,1329,20230204 PO.41653 Site.163 ID.Azam Sn.16.pdf,04-Feb-23,With Accounts,,,6/25/2025
04-Feb-23,161,41652,3575.5,AZAM BILLS,,3575,20230204 PO.41652 Site.161 ID.Azam Sn.17.pdf,04-Feb-23,With Accounts,,,6/25/2025
05-Feb-23,165,41852,2240,NOSHER BILLS,,2240,20230205 PO.41852 Site.165 ID.Nosher Sn.18.pdf,05-Feb-23,With Accounts,,,6/25/2025
05-Feb-23,163,41844,407,AZAM BILLS,,407,20230205 PO.41844 Site.163 ID.Azam Sn.19.pdf,05-Feb-23,With Accounts,,,6/25/2025
05-Feb-23,163,41845,40,AZAM BILLS,,40,20230205 PO.41845 Site.163 ID.Azam Sn.20.pdf,05-Feb-23,With Accounts,,,6/25/2025
05-Feb-23,165,41846,550,AZAM BILLS,,550,20230205 PO.41846 Site.165 ID.Azam Sn.21.pdf,05-Feb-23,With Accounts,,,6/25/2025
05-Feb-23,161,41847,390,AZAM BILLS,,390,20230205 PO.41847 Site.161 ID.Azam Sn.22.pdf,05-Feb-23,With Accounts,,,6/25/2025
05-Feb-23,165,41848,1120,AZAM BILLS,,1120,20230205 PO.41848 Site.165 ID.Azam Sn.23.pdf,05-Feb-23,With Accounts,,,6/25/2025
05-Feb-23,161,41849,1260,AZAM BILLS,,1260,20230205 PO.41849 Site.161 ID.Azam Sn.24.pdf,05-Feb-23,With Accounts,,,6/25/2025
05-Feb-23,168,41850,1870,AZAM BILLS,,1870,20230205 PO.41850 Site.168 ID.Azam Sn.25.pdf,05-Feb-23,With Accounts,,,6/25/2025
05-Feb-23,165,41851,169,AZAM BILLS,,169,20230205 PO.41851 Site.165 ID.Azam Sn.26.pdf,05-Feb-23,With Accounts,,,6/25/2025
05-Feb-23,M17,41853,310,AZAM BILLS,,310,20230205 PO.41853 Site.M17 ID.Azam Sn.27.pdf,05-Feb-23,With Accounts,,,6/25/2025
05-Feb-23,168,41500,4955,Nemer Metal Industri,,4955,3398.pdf,21-Feb-23,With Accounts,,,6/25/2025
05-Feb-23,168,41645,1380,KG PLASTIC,,1380,20230221 PO.41645 Site.168 ID.10159 Sn.29.pdf,21-Feb-23,With Accounts,,,6/25/2025
05-Feb-23,168,41647,7680,Khalifa Steel Indust,,7680,20230221 PO.41647 Site.168 ID.10130 Sn.30.pdf,21-Feb-23,With Accounts,,,6/25/2025
05-Feb-23,168,41692,3525,ABDEL LATIF,,3525,20230205 PO.41692 Site.168 ID.10239 Sn.31.pdf,05-May-23,With Accounts,,,6/25/2025
